,Title,Author,Gender of Author,Sources,Male Sources,Female Sources,url
80,Retired pope back at Vatican after German visit to brother,[],[],"['Benedict XVI', 'Benedict XVI', 'Matteo Bruni']",3,0,https://abcnews.go.com/International/wireStory/retired-pope-returning-vatican-visiting-ill-brother-71378874
81,China to Canada PM: Stop 'irresponsible remarks' on spy case,[],[],"['Mike Pompeo', 'Justin Trudeau', 'Justin Trudeau', 'Zhao Lijian']",4,0,https://abcnews.go.com/International/wireStory/china-canada-pm-stop-irresponsible-remarks-spy-case-71379272
82,English town mourns victims of suspected terror attack,[],[],"['Martin Cooper', 'James Furlong', 'Khairi Saadallah']",3,0,https://abcnews.go.com/International/wireStory/us-ambassador-confirms-american-uk-terror-victims-71378769
83,Serbian populist wins landslide as many parties boycott,['jovana gec'],['female'],"['Djilas', 'Urszula Gacek', 'Viktor Orban', 'Aleksandar Vucic']",2,1,https://abcnews.go.com/International/wireStory/serbian-populist-wins-landslide-parties-boycott-71379582
84,Attorney for former officer who killed Rayshard Brooks says DA's investigation isn't credible,[],[],"[""Paul L. Howard Jr.'s"", 'Lance LoRusso']",2,0,https://abcnews.go.com/US/attorney-officer-killed-rayshard-brooks-das-investigation-credible/story?id=71375376
85,"American national died in UK terror stabbing, Ambassador confirms",[],[],"['Superintendent Kath Barnes', 'Neil Basu', 'Woody Johnson']",2,0,https://abcnews.go.com/International/american-national-died-uk-terror-stabbing-ambassador-confirms/story?id=71378669
86,"South Africa's minibus taxis go on strike, hitting workers",[],[],[],0,0,https://abcnews.go.com/International/wireStory/south-africas-minibus-taxis-strike-hitting-workers-71379944
87,Iran's currency reaches lowest value ever against the dollar,[],[],['Eshaq Jahangiri'],1,0,https://abcnews.go.com/International/wireStory/irans-currency-reaches-lowest-dollar-71380155
88,"Germany condemns weekend violence, looting in Stuttgart",[],[],['Steffen Seibert'],1,0,https://abcnews.go.com/International/wireStory/germany-condemns-weekend-violence-looting-stuttgart-71380389
89,Thai army whistleblower accused of abandoning post gets bail,[],[],"['Narongchai Intharakawi', 'Narongchai Intharakawi', 'Winthai Suwaree']",3,0,https://abcnews.go.com/International/wireStory/thai-army-whistleblower-accused-abandoning-post-bail-71380620
90,Detained Lebanese woman accused of dealing with Israel,[],[],[],0,0,https://abcnews.go.com/International/wireStory/detained-lebanese-woman-accused-dealing-israel-71380260
91,"EU lagging behind on climate, gender equality goals",['samuel petrequin'],['male'],[],0,0,https://abcnews.go.com/International/wireStory/eu-lagging-climate-gender-equality-goals-71380727
92,Scientists find huge ring of ancient shafts near Stonehenge,[],[],"['Richard Bates', 'Vince Gaffney']",2,0,https://abcnews.go.com/International/wireStory/scientists-find-huge-ring-ancient-shafts-stonehenge-71380765
93,"Gunmen kill 5, including 2 prosecutors, in Afghan capital",[],[],['Ferdaws Faramarz'],0,1,https://abcnews.go.com/International/wireStory/gunmen-hit-car-kabul-killing-including-prosecutors-71380986
94,Russian court hands prison terms to youth group members,[],[],"['Yevgenia Kulakova', 'Dmitry Peskov', 'Vladimir Putin', 'Filip Shchelkanov']",3,1,https://abcnews.go.com/International/wireStory/russian-court-hands-prison-terms-youth-group-members-71381316
95,"Severe weather in the Heartland, excessive heat warning for the West",['max golembo'],['male'],[],0,0,https://abcnews.go.com/US/severe-weather-heartland-excessive-heat-warning-west/story?id=71381133
96,Defense lawyers seek more investigations into MH17 downing,['mike corder'],['male'],['Boudewijn van Eijck'],1,0,https://abcnews.go.com/International/wireStory/defense-lawyers-seek-investigations-mh17-downing-71381591
97,Greece sees 99% drop in travel revenue during April lockdown,[],[],[],0,0,https://abcnews.go.com/International/wireStory/greece-sees-99-drop-travel-revenue-lockdown-71381625
98,Amnesty says spyware used to monitor critics in Morocco,[],[],[],0,0,https://abcnews.go.com/International/wireStory/amnesty-spyware-monitor-critics-morocco-71381659
99,"Malawi to go to polls again, after first election nullified",[],[],"['Stephane Dujarric', 'Antonio Guterres']",2,0,https://abcnews.go.com/International/wireStory/malawi-polls-election-nullified-71381660
100,No new hardware is expected at Apple's worldwide developers conference Video,[],[],[],0,0,https://abcnews.go.com/Technology/video/hardware-expected-apples-worldwide-developers-conference-71379361
101,Russian prosecutors seek prison term for theater director,[],[],[],0,0,https://abcnews.go.com/Entertainment/wireStory/russian-prosecutors-seek-prison-term-theater-director-71379686
102,"From Italy, Muti looks to reopen US classical music scene",['colleen barry'],['female'],"['Muti', 'Riccardo Muti', 'Maestro Riccardo Muti']",3,0,https://abcnews.go.com/Entertainment/wireStory/italy-muti-reopen-us-classical-music-scene-71380064
103,Merseyside derby watched by record 5m viewers on British TV,[],[],[],0,0,https://abcnews.go.com/Entertainment/wireStory/merseyside-derby-watched-record-5m-viewers-british-tv-71380838
104,Celebrity birthdays for the week of June 28-July 4,[],[],[],0,0,https://abcnews.go.com/Entertainment/wireStory/celebrity-birthdays-week-june-28-july-71381523
105,"Amid pandemic, Live Nation announces drive-in concert series",[],[],"['Brad Paisley', 'Tom See', 'Tom See']",3,0,https://abcnews.go.com/Entertainment/wireStory/amid-pandemic-live-nation-announces-drive-concert-series-71381086
106,AP-NORC poll: Politics drive divergent view of US economy,"['josh boak', 'emily swanson']","['male', 'female']","['Jason Furman', 'Melissa Kearney', 'Thelma Ross']",1,2,https://abcnews.go.com/Health/wireStory/ap-norc-poll-politics-drive-divergent-view-us-71380985
107,VIRUS DIARY: 'We're together & we're safe',['christina paciolla'],['female'],[],0,0,https://abcnews.go.com/US/wireStory/virus-diary-safe-71381799
